,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,50.0,7.0,0.0,0.0,0.0,0.0,0.8771929824561403,0.12280701754385964,0.0,0.0,0.0
1,48.0,8.0,0.0,1.0,0.1111111111111111,1.0,0.8596491228070176,0.15789473684210525,0.19999999999999998,0.3086066999241838,0.9464285714285714
2,37.0,19.0,1.0,0.0,0.0,0.0,0.6491228070175439,0.3333333333333333,0.0,-0.0944911182523068,0.5892857142857143
3,48.0,8.0,0.0,1.0,0.1111111111111111,1.0,0.8596491228070176,0.15789473684210525,0.19999999999999998,0.3086066999241838,0.9285714285714286
4,45.0,11.0,0.0,0.0,0.0,0.0,0.8035714285714286,0.19642857142857142,0.0,0.0,0.0
5,51.0,5.0,0.0,0.0,0.0,0.0,0.9107142857142857,0.08928571428571429,0.0,0.0,0.0
6,46.0,10.0,0.0,0.0,0.0,0.0,0.8214285714285714,0.17857142857142858,0.0,0.0,0.0
7,44.0,12.0,0.0,0.0,0.0,0.0,0.7857142857142857,0.21428571428571427,0.0,0.0,0.0
8,47.0,9.0,0.0,0.0,0.0,0.0,0.8392857142857143,0.16071428571428573,0.0,0.0,0.0
9,45.0,11.0,0.0,0.0,0.0,0.0,0.8035714285714286,0.19642857142857142,0.0,0.0,0.0
10,461.0,100.0,1.0,2.0,0.02222222222222222,0.2,0.8209899749373433,0.18076441102756893,0.039999999999999994,0.05227222815960608,0.24642857142857144
