,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,53.0,1.0,0.0,1.0,0.5,1.0,0.9818181818181818,0.03636363636363636,0.6666666666666666,0.7005289007176939,1.0
1,54.0,0.0,0.0,1.0,1.0,1.0,1.0,0.01818181818181818,1.0,1.0,1.0
2,52.0,1.0,0.0,2.0,0.6666666666666666,1.0,0.9818181818181818,0.05454545454545454,0.8,0.8087571021725035,0.9905660377358492
3,53.0,0.0,1.0,1.0,1.0,0.5,0.9818181818181818,0.01818181818181818,0.6666666666666666,0.7005289007176939,1.0
4,53.0,0.0,0.0,1.0,1.0,1.0,1.0,0.018518518518518517,1.0,1.0,0.9999999999999999
5,48.0,5.0,0.0,1.0,0.16666666666666666,1.0,0.9074074074074074,0.1111111111111111,0.2857142857142857,0.38851434494290565,0.9245283018867925
6,51.0,2.0,1.0,0.0,0.0,0.0,0.9444444444444444,0.037037037037037035,0.0,-0.026938622922018266,0.0
7,49.0,4.0,0.0,1.0,0.2,1.0,0.9259259259259259,0.09259259259259259,0.33333333333333337,0.43000658178376583,0.9622641509433962
8,50.0,3.0,0.0,1.0,0.25,1.0,0.9444444444444444,0.07407407407407407,0.4,0.48564293117863205,0.9622641509433962
9,49.0,4.0,0.0,1.0,0.2,1.0,0.9259259259259259,0.09259259259259259,0.33333333333333337,0.43000658178376583,1.0
10,512.0,20.0,2.0,10.0,0.49833333333333335,0.85,0.9593602693602692,0.05531986531986531,0.5485714285714286,0.5917046720374943,0.8839622641509435
