,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,52.0,2.0,0.0,1.0,0.3333333333333333,1.0,0.9636363636363636,0.05454545454545454,0.5,0.5665577237325317,1.0
1,53.0,1.0,0.0,1.0,0.5,1.0,0.9818181818181818,0.03636363636363636,0.6666666666666666,0.7005289007176939,1.0
2,50.0,3.0,0.0,2.0,0.4,1.0,0.9454545454545454,0.09090909090909091,0.5714285714285715,0.6142951168339512,1.0
3,52.0,1.0,1.0,1.0,0.5,0.5,0.9636363636363636,0.03636363636363636,0.5,0.4811320754716981,0.8490566037735849
4,53.0,0.0,0.0,1.0,1.0,1.0,1.0,0.018518518518518517,1.0,1.0,1.0
5,47.0,6.0,0.0,1.0,0.14285714285714285,1.0,0.8888888888888888,0.12962962962962962,0.25,0.35592785240635266,0.9245283018867925
6,51.0,2.0,1.0,0.0,0.0,0.0,0.9444444444444444,0.037037037037037035,0.0,-0.026938622922018266,0.07547169811320753
7,48.0,5.0,0.0,1.0,0.16666666666666666,1.0,0.9074074074074074,0.1111111111111111,0.2857142857142857,0.38851434494290565,0.9622641509433962
8,50.0,3.0,0.0,1.0,0.25,1.0,0.9444444444444444,0.07407407407407407,0.4,0.48564293117863205,1.0
9,42.0,11.0,0.0,1.0,0.08333333333333333,1.0,0.7962962962962963,0.2222222222222222,0.15384615384615385,0.25697808437502334,0.8867924528301887
10,498.0,34.0,2.0,10.0,0.3376190476190476,0.85,0.9336026936026934,0.08107744107744107,0.43276556776556785,0.48226384067367717,0.869811320754717
