,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,52.0,2.0,0.0,1.0,0.3333333333333333,1.0,0.9636363636363636,0.05454545454545454,0.5,0.5665577237325317,1.0
1,54.0,0.0,0.0,1.0,1.0,1.0,1.0,0.01818181818181818,1.0,1.0,1.0
2,53.0,0.0,0.0,2.0,1.0,1.0,1.0,0.03636363636363636,1.0,1.0,1.0
3,53.0,0.0,1.0,1.0,1.0,0.5,0.9818181818181818,0.01818181818181818,0.6666666666666666,0.7005289007176939,0.8113207547169811
4,52.0,1.0,0.0,1.0,0.5,1.0,0.9814814814814815,0.037037037037037035,0.6666666666666666,0.7004041959724749,1.0
5,49.0,4.0,1.0,0.0,0.0,0.0,0.9074074074074074,0.07407407407407407,0.0,-0.038851434494290564,0.8490566037735849
6,51.0,2.0,1.0,0.0,0.0,0.0,0.9444444444444444,0.037037037037037035,0.0,-0.026938622922018266,0.2075471698113207
7,50.0,3.0,0.0,1.0,0.25,1.0,0.9444444444444444,0.07407407407407407,0.4,0.48564293117863205,0.9811320754716981
8,51.0,2.0,0.0,1.0,0.3333333333333333,1.0,0.9629629629629629,0.05555555555555555,0.5,0.5663521139548541,1.0
9,52.0,1.0,0.0,1.0,0.5,1.0,0.9814814814814815,0.037037037037037035,0.6666666666666666,0.7004041959724749,1.0
10,517.0,15.0,3.0,9.0,0.4916666666666666,0.75,0.9667676767676767,0.044208754208754204,0.54,0.5654100004112352,0.8849056603773585
