,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,51.0,0.0,0.0,2.0,1.0,1.0,1.0,0.03773584905660377,1.0,1.0,1.0
1,50.0,1.0,1.0,1.0,0.5,0.5,0.9622641509433962,0.03773584905660377,0.5,0.4803921568627451,0.9803921568627452
2,47.0,4.0,0.0,2.0,0.3333333333333333,1.0,0.9245283018867925,0.11320754716981132,0.5,0.5542468245138262,0.9656862745098038
3,50.0,1.0,2.0,0.0,0.0,0.0,0.9433962264150944,0.018867924528301886,0.0,-0.027461751819054487,0.8235294117647058
4,49.0,2.0,0.0,1.0,0.3333333333333333,1.0,0.9615384615384616,0.057692307692307696,0.5,0.5659164584181103,1.0
5,50.0,1.0,0.0,1.0,0.5,1.0,0.9807692307692307,0.038461538461538464,0.6666666666666666,0.7001400420140049,1.0
6,50.0,1.0,0.0,1.0,0.5,1.0,0.9807692307692307,0.038461538461538464,0.6666666666666666,0.7001400420140049,0.9803921568627451
7,51.0,0.0,0.0,1.0,1.0,1.0,1.0,0.019230769230769232,1.0,1.0,1.0
8,50.0,1.0,1.0,0.0,0.0,0.0,0.9615384615384616,0.019230769230769232,0.0,-0.0196078431372549,0.9803921568627451
9,48.0,2.0,0.0,2.0,0.5,1.0,0.9615384615384616,0.07692307692307693,0.6666666666666666,0.6928203230275508,0.98
10,496.0,13.0,4.0,11.0,0.4666666666666666,0.75,0.9676342525399129,0.04575471698113208,0.55,0.5646586251893932,0.9710392156862746
