,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,48.0,3.0,0.0,2.0,0.4,1.0,0.9433962264150944,0.09433962264150944,0.5714285714285715,0.6135719910778964,1.0
1,50.0,1.0,0.0,2.0,0.6666666666666666,1.0,0.9811320754716981,0.05660377358490566,0.8,0.8084520834544433,1.0
2,47.0,4.0,0.0,2.0,0.3333333333333333,1.0,0.9245283018867925,0.11320754716981132,0.5,0.5542468245138262,0.9607843137254902
3,51.0,0.0,1.0,1.0,1.0,0.5,0.9811320754716981,0.018867924528301886,0.6666666666666666,0.7002746713858894,0.8137254901960784
4,48.0,3.0,0.0,1.0,0.25,1.0,0.9423076923076923,0.07692307692307693,0.4,0.485071250072666,0.9803921568627451
5,49.0,2.0,0.0,1.0,0.3333333333333333,1.0,0.9615384615384616,0.057692307692307696,0.5,0.5659164584181103,0.9803921568627451
6,46.0,5.0,0.0,1.0,0.16666666666666666,1.0,0.9038461538461539,0.11538461538461539,0.2857142857142857,0.38771999869186646,0.9607843137254902
7,51.0,0.0,0.0,1.0,1.0,1.0,1.0,0.019230769230769232,1.0,1.0,1.0
8,48.0,3.0,0.0,1.0,0.25,1.0,0.9423076923076923,0.07692307692307693,0.4,0.485071250072666,1.0
9,46.0,4.0,0.0,2.0,0.3333333333333333,1.0,0.9230769230769231,0.11538461538461539,0.5,0.5537749241945383,0.97
10,484.0,25.0,1.0,14.0,0.47333333333333333,0.95,0.9503265602322205,0.074455732946299,0.5623809523809523,0.6154099451881903,0.9666078431372549
