,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,50.0,1.0,0.0,2.0,0.6666666666666666,1.0,0.9811320754716981,0.05660377358490566,0.8,0.8084520834544433,0.9803921568627451
1,50.0,1.0,2.0,0.0,0.0,0.0,0.9433962264150944,0.018867924528301886,0.0,-0.027461751819054487,0.49019607843137253
2,48.0,3.0,0.0,2.0,0.4,1.0,0.9433962264150944,0.09433962264150944,0.5714285714285715,0.6135719910778964,0.9705882352941176
3,51.0,0.0,2.0,0.0,0.0,0.0,0.9622641509433962,0.0,0.0,0.0,0.5
4,50.0,1.0,0.0,1.0,0.5,1.0,0.9807692307692307,0.038461538461538464,0.6666666666666666,0.7001400420140049,1.0
5,50.0,1.0,0.0,1.0,0.5,1.0,0.9807692307692307,0.038461538461538464,0.6666666666666666,0.7001400420140049,1.0
6,49.0,2.0,0.0,1.0,0.3333333333333333,1.0,0.9615384615384616,0.057692307692307696,0.5,0.5659164584181103,0.9607843137254902
7,51.0,0.0,0.0,1.0,1.0,1.0,1.0,0.019230769230769232,1.0,1.0,1.0
8,51.0,0.0,1.0,0.0,0.0,0.0,0.9807692307692307,0.0,0.0,0.0,0.5
9,49.0,1.0,1.0,1.0,0.5,0.5,0.9615384615384616,0.038461538461538464,0.5,0.48,0.745
10,499.0,10.0,6.0,9.0,0.38999999999999996,0.65,0.9695573294629899,0.03621190130624093,0.4704761904761904,0.48407588651594047,0.8146960784313725
